,Ordem,Tamanho,Tempo
0,random,1000,0.0019838809967041016
1,random,5000,0.011183977127075195
2,random,10000,0.022814035415649414
3,random,15000,0.03806495666503906
4,random,20000,0.05145668983459473
5,random,25000,0.07109308242797852
6,random,30000,0.08098411560058594
7,ascending,1000,0.008057832717895508
8,ascending,5000,0.02871394157409668
9,ascending,10000,0.01876544952392578
10,ascending,15000,0.028896093368530273
11,ascending,20000,0.040048837661743164
12,ascending,25000,0.05114293098449707
13,ascending,30000,0.060897111892700195
14,descending,1000,0.0014278888702392578
15,descending,5000,0.008763313293457031
16,descending,10000,0.01851511001586914
17,descending,15000,0.028733015060424805
18,descending,20000,0.0402827262878418
19,descending,25000,0.050368547439575195
20,descending,30000,0.06080985069274902
