,Ordem,Tamanho,Tempo
0,random,1000,0.0013034343719482422
1,random,5000,0.007370710372924805
2,random,10000,0.014833927154541016
3,random,15000,0.024097442626953125
4,random,20000,0.03299713134765625
5,random,25000,0.04294848442077637
6,random,30000,0.05007600784301758
7,ascending,1000,0.0006344318389892578
8,ascending,5000,0.0040476322174072266
9,ascending,10000,0.008461475372314453
10,ascending,15000,0.012649774551391602
11,ascending,20000,0.017971515655517578
12,ascending,25000,0.023406267166137695
13,ascending,30000,0.026665210723876953
14,descending,1000,0.0008189678192138672
15,descending,5000,0.00436854362487793
16,descending,10000,0.00939321517944336
17,descending,15000,0.014295339584350586
18,descending,20000,0.019840717315673828
19,descending,25000,0.02478337287902832
20,descending,30000,0.030491352081298828
