,Ordem,Tamanho,Tempo
0,random,1000,0.07855939865112305
1,random,5000,1.2836391925811768
2,random,10000,5.369723796844482
3,random,15000,12.28006911277771
4,random,20000,21.361782789230347
5,random,25000,40.48898983001709
6,random,30000,49.13222312927246
7,ascending,1000,6.771087646484375e-05
8,ascending,5000,0.0003705024719238281
9,ascending,10000,0.0006763935089111328
10,ascending,15000,0.001033782958984375
11,ascending,20000,0.0015385150909423828
12,ascending,25000,0.003062725067138672
13,ascending,30000,0.0020928382873535156
14,descending,1000,0.06004214286804199
15,descending,5000,1.6344170570373535
16,descending,10000,6.73967719078064
17,descending,15000,15.13737154006958
18,descending,20000,27.26561689376831
19,descending,25000,42.293116331100464
20,descending,30000,61.27205729484558
