,Ordem,Tamanho,Tempo
0,random,1000,0.048206329345703125
1,random,5000,1.2750825881958008
2,random,10000,5.2875237464904785
3,random,15000,11.889174461364746
4,random,20000,21.84135413169861
5,random,25000,40.19887685775757
6,random,30000,50.853002071380615
7,ascending,1000,0.027255773544311523
8,ascending,5000,0.7990186214447021
9,ascending,10000,3.1093735694885254
10,ascending,15000,7.416224956512451
11,ascending,20000,12.565067052841187
12,ascending,25000,20.44381880760193
13,ascending,30000,28.573113679885864
14,descending,1000,0.06007266044616699
15,descending,5000,1.6422433853149414
16,descending,10000,6.6367881298065186
17,descending,15000,14.879968881607056
18,descending,20000,26.582319974899292
19,descending,25000,41.63509750366211
20,descending,30000,60.40672159194946
