,Ordem,Tamanho,Tempo
0,random,1000,0.0030324459075927734
1,random,5000,0.008186578750610352
2,random,10000,0.006411552429199219
3,random,15000,0.006711006164550781
4,random,20000,0.008221626281738281
5,random,25000,0.013572931289672852
6,random,30000,0.012382984161376953
7,ascending,1000,0.00035691261291503906
8,ascending,5000,0.0019466876983642578
9,ascending,10000,0.0044133663177490234
10,ascending,15000,0.0064852237701416016
11,ascending,20000,0.007714033126831055
12,ascending,25000,0.011231660842895508
13,ascending,30000,0.012765884399414062
14,descending,1000,0.00031280517578125
15,descending,5000,0.00164031982421875
16,descending,10000,0.003452301025390625
17,descending,15000,0.00568389892578125
18,descending,20000,0.007296085357666016
19,descending,25000,0.009166479110717773
20,descending,30000,0.010862350463867188
