,Ordem,Tamanho,Tempo
0,random,1000,0.0043828487396240234
1,random,5000,0.013733386993408203
2,random,10000,0.033040761947631836
3,random,15000,0.04462385177612305
4,random,20000,0.06151294708251953
5,random,25000,0.09189653396606445
6,random,30000,0.09520888328552246
7,ascending,1000,0.0018694400787353516
8,ascending,5000,0.011971712112426758
9,ascending,10000,0.025160789489746094
10,ascending,15000,0.03786873817443848
11,ascending,20000,0.05233192443847656
12,ascending,25000,0.06627583503723145
13,ascending,30000,0.07930183410644531
14,descending,1000,0.0018985271453857422
15,descending,5000,0.011866092681884766
16,descending,10000,0.025262832641601562
17,descending,15000,0.037893056869506836
18,descending,20000,0.052809953689575195
19,descending,25000,0.06608438491821289
20,descending,30000,0.08029651641845703
