,Ordem,Tamanho,Tempo
0,random,1000,0.002900362014770508
1,random,5000,0.010066509246826172
2,random,10000,0.017154693603515625
3,random,15000,0.026024818420410156
4,random,20000,0.0368344783782959
5,random,25000,0.047983407974243164
6,random,30000,0.05445265769958496
7,ascending,1000,0.0007307529449462891
8,ascending,5000,0.004613161087036133
9,ascending,10000,0.010118484497070312
10,ascending,15000,0.01548004150390625
11,ascending,20000,0.021861553192138672
12,ascending,25000,0.027031421661376953
13,ascending,30000,0.031398773193359375
14,descending,1000,0.0008966922760009766
15,descending,5000,0.005564689636230469
16,descending,10000,0.010529518127441406
17,descending,15000,0.017705678939819336
18,descending,20000,0.023679018020629883
19,descending,25000,0.028535842895507812
20,descending,30000,0.034509897232055664
