,Ordem,Tamanho,Tempo
0,random,1000,0.022810935974121094
1,random,5000,0.5089583396911621
2,random,10000,2.0256457328796387
3,random,15000,4.618229627609253
4,random,20000,8.288647174835205
5,random,25000,18.45340323448181
6,random,30000,19.035991430282593
7,ascending,1000,0.0202181339263916
8,ascending,5000,0.48899388313293457
9,ascending,10000,1.9466276168823242
10,ascending,15000,4.380745887756348
11,ascending,20000,7.803035259246826
12,ascending,25000,12.168315172195435
13,ascending,30000,17.48712706565857
14,descending,1000,0.023756742477416992
15,descending,5000,0.5638704299926758
16,descending,10000,2.2729012966156006
17,descending,15000,5.083221912384033
18,descending,20000,9.161837816238403
19,descending,25000,14.178996086120605
20,descending,30000,20.528292417526245
