,Ordem,Tamanho,Tempo
0,random,1000,0.023322105407714844
1,random,5000,0.5646605491638184
2,random,10000,2.3193750381469727
3,random,15000,5.329870700836182
4,random,20000,9.557721614837646
5,random,25000,15.760981559753418
6,random,30000,21.665257692337036
7,ascending,1000,0.000888824462890625
8,ascending,5000,0.006414175033569336
9,ascending,10000,0.01287078857421875
10,ascending,15000,0.021012067794799805
11,ascending,20000,0.02966785430908203
12,ascending,25000,0.03670144081115723
13,ascending,30000,0.044141530990600586
14,descending,1000,0.03944730758666992
15,descending,5000,1.064958095550537
16,descending,10000,4.350857496261597
17,descending,15000,9.828503370285034
18,descending,20000,17.514672994613647
19,descending,25000,27.67868733406067
20,descending,30000,39.458696126937866
