,Ordem,Tamanho,Tempo
0,random,1000,0.0003464221954345703
1,random,5000,0.0015838146209716797
2,random,10000,0.0032041072845458984
3,random,15000,0.005194902420043945
4,random,20000,0.0064716339111328125
5,random,25000,0.010519742965698242
6,random,30000,0.009965658187866211
7,ascending,1000,0.00042557716369628906
8,ascending,5000,0.0017113685607910156
9,ascending,10000,0.00342559814453125
10,ascending,15000,0.005095481872558594
11,ascending,20000,0.006819963455200195
12,ascending,25000,0.009079456329345703
13,ascending,30000,0.010625123977661133
14,descending,1000,0.0002856254577636719
15,descending,5000,0.0014789104461669922
16,descending,10000,0.002947092056274414
17,descending,15000,0.004547595977783203
18,descending,20000,0.006066799163818359
19,descending,25000,0.007422447204589844
20,descending,30000,0.009277582168579102
