,Ordem,Tamanho,Tempo
0,random,1000,0.01782393455505371
1,random,5000,0.4621145725250244
2,random,10000,1.9210495948791504
3,random,15000,4.381492376327515
4,random,20000,7.823155164718628
5,random,25000,11.97658371925354
6,random,30000,17.383837938308716
7,ascending,1000,0.0009617805480957031
8,ascending,5000,0.004733085632324219
9,ascending,10000,0.010411500930786133
10,ascending,15000,0.015615701675415039
11,ascending,20000,0.022081851959228516
12,ascending,25000,0.030026674270629883
13,ascending,30000,0.034712791442871094
14,descending,1000,0.032587289810180664
15,descending,5000,0.8814239501953125
16,descending,10000,3.5584280490875244
17,descending,15000,8.073824644088745
18,descending,20000,14.37962293624878
19,descending,25000,22.47138810157776
20,descending,30000,32.31172800064087
